Sample,Age,City,Date,Event,Sample,Sport,State
CPR_SH.FX003,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX003,,PA
CPR_SH.FX004,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX004,,PA
CPR_SH.FX005,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX005,,PA
CPR_SH.FX007,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX007,,PA
CPR_SH.FX008,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX008,,PA
CPR_SH.FX009,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX009,,PA
CPR_SH.FX011,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX011,,PA
CPR_SH.FX014,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX014,,PA
CPR_SH.FX015,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX015,,PA
CPR_SH.FX017,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX017,,PA
CPR_SH.FX018,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX018,,PA
CPR_SH.FX020,Mixed,Philadelphia,4/26/2014,DiscoveryDays,FX020,,PA
CPR_CP.AH081,Adult,Denver,5/8/2013,DMNS,AH081,,CO
CPR_CP.AH082,Adult,Denver,5/8/2013,DMNS,AH082,,CO
CPR_CP.AH083,Adult,Denver,5/8/2013,DMNS,AH083,,CO
CPR_CP.AH084,Adult,Denver,5/8/2013,DMNS,AH084,,CO
CPR_CP.AH086,Adult,Denver,5/8/2013,DMNS,AH086,,CO
CPR_CP.AH087,Adult,Denver,5/8/2013,DMNS,AH087,,CO
CPR_CP.AH088,Adult,Denver,5/8/2013,DMNS,AH088,,CO
CPR_CP.AH089,Adult,Denver,5/8/2013,DMNS,AH089,,CO
CPR_CP.AH090,Adult,Denver,5/8/2013,DMNS,AH090,,CO
CPR_CP.AH091,Adult,Denver,5/8/2013,DMNS,AH091,,CO
CPR_CP.AH092,Adult,Denver,5/8/2013,DMNS,AH092,,CO
CPR_CP.AH093,Adult,Denver,5/8/2013,DMNS,AH093,,CO
CPR_CP.AH095,Adult,Denver,5/8/2013,DMNS,AH095,,CO
CPR_CP.AH096,Adult,Denver,5/8/2013,DMNS,AH096,,CO
CPR_CP.AH097,Adult,Denver,5/8/2013,DMNS,AH097,,CO
CPR_CP.AH099,Adult,Denver,5/8/2013,DMNS,AH099,,CO
CPR_CP.AH100,Adult,Denver,5/8/2013,DMNS,AH100,,CO
CPR_SH.AH081,Adult,Denver,5/8/2013,DMNS,AH081,,CO
CPR_SH.AH082,Adult,Denver,5/8/2013,DMNS,AH082,,CO
CPR_SH.AH083,Adult,Denver,5/8/2013,DMNS,AH083,,CO
CPR_SH.AH086,Adult,Denver,5/8/2013,DMNS,AH086,,CO
CPR_SH.AH087,Adult,Denver,5/8/2013,DMNS,AH087,,CO
CPR_SH.AH088,Adult,Denver,5/8/2013,DMNS,AH088,,CO
CPR_SH.AH089,Adult,Denver,5/8/2013,DMNS,AH089,,CO
CPR_SH.AH090,Adult,Denver,5/8/2013,DMNS,AH090,,CO
CPR_SH.AH091,Adult,Denver,5/8/2013,DMNS,AH091,,CO
CPR_SH.AH092,Adult,Denver,5/8/2013,DMNS,AH092,,CO
CPR_SH.AH093,Adult,Denver,5/8/2013,DMNS,AH093,,CO
CPR_SH.AH095,Adult,Denver,5/8/2013,DMNS,AH095,,CO
CPR_SH.AH096,Adult,Denver,5/8/2013,DMNS,AH096,,CO
CPR_SH.AH097,Adult,Denver,5/8/2013,DMNS,AH097,,CO
CPR_SH.AH099,Adult,Denver,5/8/2013,DMNS,AH099,,CO
CPR_SH.AH100,Adult,Denver,5/8/2013,DMNS,AH100,,CO
CPR_CP.FX025,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX025,,PA
CPR_CP.FX026,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX026,,PA
CPR_CP.FX032,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX032,,PA
CPR_CP.FX033,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX033,,PA
CPR_CP.FX081,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX081,,PA
CPR_CP.FX085,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX085,,PA
CPR_CP.FX086,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX086,,PA
CPR_CP.FZ005,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ005,,PA
CPR_CP.FZ013,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ013,,PA
CPR_CP.FZ020,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ020,,PA
CPR_CP.FZ030,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ030,,PA
CPR_SH.FX025,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX025,,PA
CPR_SH.FX032,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX032,,PA
CPR_SH.FX084,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX084,,PA
CPR_SH.FX085,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX085,,PA
CPR_SH.FX086,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX086,,PA
CPR_SH.FX089,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FX089,,PA
CPR_SH.FY099,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FY099,,PA
CPR_SH.FZ005,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ005,,PA
CPR_SH.FZ011,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ011,,PA
CPR_SH.FZ013,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ013,,PA
CPR_SH.FZ020,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ020,,PA
CPR_SH.FZ030,Mixed,Philadelphia,4/30/2014,DrexelLibrary,FZ030,,PA
CPR_CP.FX069,Adult,Philadelphia,5/30/2013,FranklinInstitute,FX069,,PA
CPR_SH.FX069,Adult,Philadelphia,5/30/2013,FranklinInstitute,FX069,,PA
CPR_SH.FX076,Adult,Philadelphia,5/30/2013,FranklinInstitute,FX076,,PA
CPR_CP.AG001,Kid,Atlanta,4/27/2013,Girl Scouts,AG001,,GA
CPR_CP.AG002,Kid,Atlanta,4/27/2013,Girl Scouts,AG002,,GA
CPR_CP.AG003,Kid,Atlanta,4/27/2013,Girl Scouts,AG003,,GA
CPR_CP.AG004,Kid,Atlanta,4/27/2013,Girl Scouts,AG004,,GA
CPR_CP.AG006,Kid,Atlanta,4/27/2013,Girl Scouts,AG006,,GA
CPR_CP.AG007,Kid,Atlanta,4/27/2013,Girl Scouts,AG007,,GA
CPR_CP.AG008,Kid,Atlanta,4/27/2013,Girl Scouts,AG008,,GA
CPR_CP.AG009,Kid,Atlanta,4/27/2013,Girl Scouts,AG009,,GA
CPR_CP.AG010,Kid,Atlanta,4/27/2013,Girl Scouts,AG010,,GA
CPR_CP.AG011,Kid,Atlanta,4/27/2013,Girl Scouts,AG011,,GA
CPR_CP.AG012,Kid,Atlanta,4/27/2013,Girl Scouts,AG012,,GA
CPR_CP.AG013,Kid,Atlanta,4/27/2013,Girl Scouts,AG013,,GA
CPR_CP.AG015,Kid,Atlanta,4/27/2013,Girl Scouts,AG015,,GA
CPR_CP.AG016,Kid,Atlanta,4/27/2013,Girl Scouts,AG016,,GA
CPR_CP.AG017,Kid,Atlanta,4/27/2013,Girl Scouts,AG017,,GA
CPR_CP.AG018,Kid,Atlanta,4/27/2013,Girl Scouts,AG018,,GA
CPR_CP.AG019,Kid,Atlanta,4/27/2013,Girl Scouts,AG019,,GA
CPR_SH.AG001,Kid,Atlanta,4/27/2013,Girl Scouts,AG001,,GA
CPR_SH.AG002,Kid,Atlanta,4/27/2013,Girl Scouts,AG002,,GA
CPR_SH.AG003,Kid,Atlanta,4/27/2013,Girl Scouts,AG003,,GA
CPR_SH.AG006,Kid,Atlanta,4/27/2013,Girl Scouts,AG006,,GA
CPR_SH.AG007,Kid,Atlanta,4/27/2013,Girl Scouts,AG007,,GA
CPR_SH.AG008,Kid,Atlanta,4/27/2013,Girl Scouts,AG008,,GA
CPR_SH.AG009,Kid,Atlanta,4/27/2013,Girl Scouts,AG009,,GA
CPR_SH.AG010,Kid,Atlanta,4/27/2013,Girl Scouts,AG010,,GA
CPR_SH.AG011,Kid,Atlanta,4/27/2013,Girl Scouts,AG011,,GA
CPR_SH.AG012,Kid,Atlanta,4/27/2013,Girl Scouts,AG012,,GA
CPR_SH.AG013,Kid,Atlanta,4/27/2013,Girl Scouts,AG013,,GA
CPR_SH.AG015,Kid,Atlanta,4/27/2013,Girl Scouts,AG015,,GA
CPR_SH.AG016,Kid,Atlanta,4/27/2013,Girl Scouts,AG016,,GA
CPR_SH.AG017,Kid,Atlanta,4/27/2013,Girl Scouts,AG017,,GA
CPR_SH.AG019,Kid,Atlanta,4/27/2013,Girl Scouts,AG019,,GA
CPR_SH.AG020,Kid,Atlanta,4/27/2013,Girl Scouts,AG020,,GA
CPR_CP.FV002,Adult,Columbia,6/9/2013,HowardCCC,FV002,,MD
CPR_CP.FV003,Adult,Columbia,6/9/2013,HowardCCC,FV003,,MD
CPR_CP.FV004,Adult,Columbia,6/9/2013,HowardCCC,FV004,,MD
CPR_CP.FV005,Adult,Columbia,6/9/2013,HowardCCC,FV005,,MD
CPR_CP.FV006,Adult,Columbia,6/9/2013,HowardCCC,FV006,,MD
CPR_CP.FV007,Adult,Columbia,6/9/2013,HowardCCC,FV007,,MD
CPR_CP.FV009,Adult,Columbia,6/9/2013,HowardCCC,FV009,,MD
CPR_CP.FV010,Adult,Columbia,6/9/2013,HowardCCC,FV010,,MD
CPR_CP.FV011,Adult,Columbia,6/9/2013,HowardCCC,FV011,,MD
CPR_CP.FV012,Adult,Columbia,6/9/2013,HowardCCC,FV012,,MD
CPR_CP.FV013,Adult,Columbia,6/9/2013,HowardCCC,FV013,,MD
CPR_CP.FV014,Adult,Columbia,6/9/2013,HowardCCC,FV014,,MD
CPR_CP.FV016,Adult,Columbia,6/9/2013,HowardCCC,FV016,,MD
CPR_CP.FV017,Adult,Columbia,6/9/2013,HowardCCC,FV017,,MD
CPR_CP.FV018,Adult,Columbia,6/9/2013,HowardCCC,FV018,,MD
CPR_CP.FV020,Adult,Columbia,6/9/2013,HowardCCC,FV020,,MD
CPR_CP.FW081,Adult,Columbia,6/9/2013,HowardCCC,FW081,,MD
CPR_CP.FW082,Adult,Columbia,6/9/2013,HowardCCC,FW082,,MD
CPR_CP.FW083,Adult,Columbia,6/9/2013,HowardCCC,FW083,,MD
CPR_CP.FW084,Adult,Columbia,6/9/2013,HowardCCC,FW084,,MD
CPR_CP.FW085,Adult,Columbia,6/9/2013,HowardCCC,FW085,,MD
CPR_CP.FW087,Adult,Columbia,6/9/2013,HowardCCC,FW087,,MD
CPR_CP.FW088,Adult,Columbia,6/9/2013,HowardCCC,FW088,,MD
CPR_CP.FW090,Adult,Columbia,6/9/2013,HowardCCC,FW090,,MD
CPR_CP.FW091,Adult,Columbia,6/9/2013,HowardCCC,FW091,,MD
CPR_CP.FW092,Adult,Columbia,6/9/2013,HowardCCC,FW092,,MD
CPR_CP.FW093,Adult,Columbia,6/9/2013,HowardCCC,FW093,,MD
CPR_CP.FW094,Adult,Columbia,6/9/2013,HowardCCC,FW094,,MD
CPR_CP.FW095,Adult,Columbia,6/9/2013,HowardCCC,FW095,,MD
CPR_CP.FW096,Adult,Columbia,6/9/2013,HowardCCC,FW096,,MD
CPR_CP.FW097,Adult,Columbia,6/9/2013,HowardCCC,FW097,,MD
CPR_CP.FW098,Adult,Columbia,6/9/2013,HowardCCC,FW098,,MD
CPR_CP.FW100,Adult,Columbia,6/9/2013,HowardCCC,FW100,,MD
CPR_SH.FV002,Adult,Columbia,6/9/2013,HowardCCC,FV002,,MD
CPR_SH.FV003,Adult,Columbia,6/9/2013,HowardCCC,FV003,,MD
CPR_SH.FV004,Adult,Columbia,6/9/2013,HowardCCC,FV004,,MD
CPR_SH.FV005,Adult,Columbia,6/9/2013,HowardCCC,FV005,,MD
CPR_SH.FV006,Adult,Columbia,6/9/2013,HowardCCC,FV006,,MD
CPR_SH.FV007,Adult,Columbia,6/9/2013,HowardCCC,FV007,,MD
CPR_SH.FV008,Adult,Columbia,6/9/2013,HowardCCC,FV008,,MD
CPR_SH.FV009,Adult,Columbia,6/9/2013,HowardCCC,FV009,,MD
CPR_SH.FV010,Adult,Columbia,6/9/2013,HowardCCC,FV010,,MD
CPR_SH.FV011,Adult,Columbia,6/9/2013,HowardCCC,FV011,,MD
CPR_SH.FV012,Adult,Columbia,6/9/2013,HowardCCC,FV012,,MD
CPR_SH.FV013,Adult,Columbia,6/9/2013,HowardCCC,FV013,,MD
CPR_SH.FV014,Adult,Columbia,6/9/2013,HowardCCC,FV014,,MD
CPR_SH.FV015,Adult,Columbia,6/9/2013,HowardCCC,FV015,,MD
CPR_SH.FV016,Adult,Columbia,6/9/2013,HowardCCC,FV016,,MD
CPR_SH.FV017,Adult,Columbia,6/9/2013,HowardCCC,FV017,,MD
CPR_SH.FV018,Adult,Columbia,6/9/2013,HowardCCC,FV018,,MD
CPR_SH.FV020,Adult,Columbia,6/9/2013,HowardCCC,FV020,,MD
CPR_SH.FW081,Adult,Columbia,6/9/2013,HowardCCC,FW081,,MD
CPR_SH.FW082,Adult,Columbia,6/9/2013,HowardCCC,FW082,,MD
CPR_SH.FW083,Adult,Columbia,6/9/2013,HowardCCC,FW083,,MD
CPR_SH.FW085,Adult,Columbia,6/9/2013,HowardCCC,FW085,,MD
CPR_SH.FW086,Adult,Columbia,6/9/2013,HowardCCC,FW086,,MD
CPR_SH.FW087,Adult,Columbia,6/9/2013,HowardCCC,FW087,,MD
CPR_SH.FW088,Adult,Columbia,6/9/2013,HowardCCC,FW088,,MD
CPR_SH.FW090,Adult,Columbia,6/9/2013,HowardCCC,FW090,,MD
CPR_SH.FW091,Adult,Columbia,6/9/2013,HowardCCC,FW091,,MD
CPR_SH.FW092,Adult,Columbia,6/9/2013,HowardCCC,FW092,,MD
CPR_SH.FW093,Adult,Columbia,6/9/2013,HowardCCC,FW093,,MD
CPR_SH.FW094,Adult,Columbia,6/9/2013,HowardCCC,FW094,,MD
CPR_SH.FW095,Adult,Columbia,6/9/2013,HowardCCC,FW095,,MD
CPR_SH.FW096,Adult,Columbia,6/9/2013,HowardCCC,FW096,,MD
CPR_SH.FW097,Adult,Columbia,6/9/2013,HowardCCC,FW097,,MD
CPR_SH.FW098,Adult,Columbia,6/9/2013,HowardCCC,FW098,,MD
CPR_SH.FW099,Adult,Columbia,6/9/2013,HowardCCC,FW099,,MD
CPR_SH.FW100,Adult,Columbia,6/9/2013,HowardCCC,FW100,,MD
CPR_CP.FX034,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX034,,MA
CPR_CP.FX036,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX036,,MA
CPR_CP.FX038,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX038,,MA
CPR_CP.FX039,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX039,,MA
CPR_CP.FX078,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX078,,MA
CPR_CP.FY062,Mixed,Baltimore,5/4/2014,KidneyFoundation,FY062,,MA
CPR_CP.FZ002,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ002,,MA
CPR_CP.FZ019,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ019,,MA
CPR_CP.FZ033,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ033,,MA
CPR_CP.FZ036,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ036,,MA
CPR_CP.FZ039,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ039,,MA
CPR_CP.ME023,Mixed,Baltimore,5/4/2014,KidneyFoundation,ME023,,MA
CPR_SH.FX034,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX034,,MA
CPR_SH.FX036,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX036,,MA
CPR_SH.FX038,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX038,,MA
CPR_SH.FX039,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX039,,MA
CPR_SH.FX078,Mixed,Baltimore,5/4/2014,KidneyFoundation,FX078,,MA
CPR_SH.FY062,Mixed,Baltimore,5/4/2014,KidneyFoundation,FY062,,MA
CPR_SH.FZ002,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ002,,MA
CPR_SH.FZ019,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ019,,MA
CPR_SH.FZ033,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ033,,MA
CPR_SH.FZ036,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ036,,MA
CPR_SH.FZ039,Mixed,Baltimore,5/4/2014,KidneyFoundation,FZ039,,MA
CPR_SH.ME023,Mixed,Baltimore,5/4/2014,KidneyFoundation,ME023,,MA
CPR_CP.ME061,Kid,Unknown,4/23/2014,KidScoop,ME061,,Unknown
CPR_CP.ME062,Kid,Unknown,4/23/2014,KidScoop,ME062,,Unknown
CPR_CP.ME063,Kid,Unknown,4/23/2014,KidScoop,ME063,,Unknown
CPR_CP.ME064,Kid,Unknown,4/23/2014,KidScoop,ME064,,Unknown
CPR_CP.ME065,Kid,Unknown,4/23/2014,KidScoop,ME065,,Unknown
CPR_CP.ME071,Kid,Unknown,4/23/2014,KidScoop,ME071,,Unknown
CPR_CP.ME072,Kid,Unknown,4/23/2014,KidScoop,ME072,,Unknown
CPR_SH.ME061,Kid,Unknown,4/23/2014,KidScoop,ME061,,Unknown
CPR_SH.ME062,Kid,Unknown,4/23/2014,KidScoop,ME062,,Unknown
CPR_SH.ME063,Kid,Unknown,4/23/2014,KidScoop,ME063,,Unknown
CPR_SH.ME064,Kid,Unknown,4/23/2014,KidScoop,ME064,,Unknown
CPR_SH.ME065,Kid,Unknown,4/23/2014,KidScoop,ME065,,Unknown
CPR_SH.ME072,Kid,Unknown,4/23/2014,KidScoop,ME072,,Unknown
CPR_CP.AC042,Adult,Miami,9/25/2013,MiamiDolphins,AC042,Football,FL
CPR_CP.AC046,Adult,Miami,9/25/2013,MiamiDolphins,AC046,Football,FL
CPR_CP.AC047,Adult,Miami,9/25/2013,MiamiDolphins,AC047,Football,FL
CPR_CP.AC049,Adult,Miami,9/25/2013,MiamiDolphins,AC049,Football,FL
CPR_CP.AC050,Adult,Miami,9/25/2013,MiamiDolphins,AC050,Football,FL
CPR_CP.AC051,Adult,Miami,9/25/2013,MiamiDolphins,AC051,Football,FL
CPR_CP.AC054,Adult,Miami,9/25/2013,MiamiDolphins,AC054,Football,FL
CPR_CP.AC055,Adult,Miami,9/25/2013,MiamiDolphins,AC055,Football,FL
CPR_CP.AC057,Adult,Miami,9/25/2013,MiamiDolphins,AC057,Football,FL
CPR_CP.AC058,Adult,Miami,9/25/2013,MiamiDolphins,AC058,Football,FL
CPR_CP.AC059,Adult,Miami,9/25/2013,MiamiDolphins,AC059,Football,FL
CPR_CP.AC060,Adult,Miami,9/25/2013,MiamiDolphins,AC060,Football,FL
CPR_SH.AC041,Adult,Miami,9/25/2013,MiamiDolphins,AC041,Football,FL
CPR_SH.AC042,Adult,Miami,9/25/2013,MiamiDolphins,AC042,Football,FL
CPR_SH.AC043,Adult,Miami,9/25/2013,MiamiDolphins,AC043,Football,FL
CPR_SH.AC044,Adult,Miami,9/25/2013,MiamiDolphins,AC044,Football,FL
CPR_SH.AC045,Adult,Miami,9/25/2013,MiamiDolphins,AC045,Football,FL
CPR_SH.AC046,Adult,Miami,9/25/2013,MiamiDolphins,AC046,Football,FL
CPR_SH.AC047,Adult,Miami,9/25/2013,MiamiDolphins,AC047,Football,FL
CPR_SH.AC049,Adult,Miami,9/25/2013,MiamiDolphins,AC049,Football,FL
CPR_SH.AC050,Adult,Miami,9/25/2013,MiamiDolphins,AC050,Football,FL
CPR_SH.AC051,Adult,Miami,9/25/2013,MiamiDolphins,AC051,Football,FL
CPR_SH.AC053,Adult,Miami,9/25/2013,MiamiDolphins,AC053,Football,FL
CPR_SH.AC054,Adult,Miami,9/25/2013,MiamiDolphins,AC054,Football,FL
CPR_SH.AC055,Adult,Miami,9/25/2013,MiamiDolphins,AC055,Football,FL
CPR_SH.AC057,Adult,Miami,9/25/2013,MiamiDolphins,AC057,Football,FL
CPR_SH.AC058,Adult,Miami,9/25/2013,MiamiDolphins,AC058,Football,FL
CPR_SH.AC060,Adult,Miami,9/25/2013,MiamiDolphins,AC060,Football,FL
CPR_CP.FR001,Mixed,Dulles,9/28/2013,NSFSTEM,FR001,,VA
CPR_CP.FR002,Mixed,Dulles,9/28/2013,NSFSTEM,FR002,,VA
CPR_CP.FR003,Mixed,Dulles,9/28/2013,NSFSTEM,FR003,,VA
CPR_CP.FR004,Mixed,Dulles,9/28/2013,NSFSTEM,FR004,,VA
CPR_CP.FR005,Mixed,Dulles,9/28/2013,NSFSTEM,FR005,,VA
CPR_CP.FR006,Mixed,Dulles,9/28/2013,NSFSTEM,FR006,,VA
CPR_CP.FR007,Mixed,Dulles,9/28/2013,NSFSTEM,FR007,,VA
CPR_CP.FR008,Mixed,Dulles,9/28/2013,NSFSTEM,FR008,,VA
CPR_CP.FR009,Mixed,Dulles,9/28/2013,NSFSTEM,FR009,,VA
CPR_CP.FR010,Mixed,Dulles,9/28/2013,NSFSTEM,FR010,,VA
CPR_CP.FR011,Mixed,Dulles,9/28/2013,NSFSTEM,FR011,,VA
CPR_CP.FR012,Mixed,Dulles,9/28/2013,NSFSTEM,FR012,,VA
CPR_CP.FR013,Mixed,Dulles,9/28/2013,NSFSTEM,FR013,,VA
CPR_CP.FR014,Mixed,Dulles,9/28/2013,NSFSTEM,FR014,,VA
CPR_CP.FR015,Mixed,Dulles,9/28/2013,NSFSTEM,FR015,,VA
CPR_CP.FR016,Mixed,Dulles,9/28/2013,NSFSTEM,FR016,,VA
CPR_CP.FR017,Mixed,Dulles,9/28/2013,NSFSTEM,FR017,,VA
CPR_CP.FR018,Mixed,Dulles,9/28/2013,NSFSTEM,FR018,,VA
CPR_CP.FR019,Mixed,Dulles,9/28/2013,NSFSTEM,FR019,,VA
CPR_CP.FR020,Mixed,Dulles,9/28/2013,NSFSTEM,FR020,,VA
CPR_CP.FR021,Mixed,Dulles,9/28/2013,NSFSTEM,FR021,,VA
CPR_CP.FR022,Mixed,Dulles,9/28/2013,NSFSTEM,FR022,,VA
CPR_CP.FR023,Mixed,Dulles,9/28/2013,NSFSTEM,FR023,,VA
CPR_CP.FR024,Mixed,Dulles,9/28/2013,NSFSTEM,FR024,,VA
CPR_CP.FR025,Mixed,Dulles,9/28/2013,NSFSTEM,FR025,,VA
CPR_CP.FR026,Mixed,Dulles,9/28/2013,NSFSTEM,FR026,,VA
CPR_CP.FR027,Mixed,Dulles,9/28/2013,NSFSTEM,FR027,,VA
CPR_CP.FR028,Mixed,Dulles,9/28/2013,NSFSTEM,FR028,,VA
CPR_CP.FR029,Mixed,Dulles,9/28/2013,NSFSTEM,FR029,,VA
CPR_CP.FR030,Mixed,Dulles,9/28/2013,NSFSTEM,FR030,,VA
CPR_CP.FR031,Mixed,Dulles,9/28/2013,NSFSTEM,FR031,,VA
CPR_CP.FR032,Mixed,Dulles,9/28/2013,NSFSTEM,FR032,,VA
CPR_CP.FR033,Mixed,Dulles,9/28/2013,NSFSTEM,FR033,,VA
CPR_CP.FR034,Mixed,Dulles,9/28/2013,NSFSTEM,FR034,,VA
CPR_CP.FR035,Mixed,Dulles,9/28/2013,NSFSTEM,FR035,,VA
CPR_SH.FR001,Mixed,Dulles,9/28/2013,NSFSTEM,FR001,,VA
CPR_SH.FR002,Mixed,Dulles,9/28/2013,NSFSTEM,FR002,,VA
CPR_SH.FR003,Mixed,Dulles,9/28/2013,NSFSTEM,FR003,,VA
CPR_SH.FR004,Mixed,Dulles,9/28/2013,NSFSTEM,FR004,,VA
CPR_SH.FR005,Mixed,Dulles,9/28/2013,NSFSTEM,FR005,,VA
CPR_SH.FR006,Mixed,Dulles,9/28/2013,NSFSTEM,FR006,,VA
CPR_SH.FR007,Mixed,Dulles,9/28/2013,NSFSTEM,FR007,,VA
CPR_SH.FR008,Mixed,Dulles,9/28/2013,NSFSTEM,FR008,,VA
CPR_SH.FR009,Mixed,Dulles,9/28/2013,NSFSTEM,FR009,,VA
CPR_SH.FR010,Mixed,Dulles,9/28/2013,NSFSTEM,FR010,,VA
CPR_SH.FR011,Mixed,Dulles,9/28/2013,NSFSTEM,FR011,,VA
CPR_SH.FR012,Mixed,Dulles,9/28/2013,NSFSTEM,FR012,,VA
CPR_SH.FR013,Mixed,Dulles,9/28/2013,NSFSTEM,FR013,,VA
CPR_SH.FR014,Mixed,Dulles,9/28/2013,NSFSTEM,FR014,,VA
CPR_SH.FR015,Mixed,Dulles,9/28/2013,NSFSTEM,FR015,,VA
CPR_SH.FR016,Mixed,Dulles,9/28/2013,NSFSTEM,FR016,,VA
CPR_SH.FR017,Mixed,Dulles,9/28/2013,NSFSTEM,FR017,,VA
CPR_SH.FR018,Mixed,Dulles,9/28/2013,NSFSTEM,FR018,,VA
CPR_SH.FR019,Mixed,Dulles,9/28/2013,NSFSTEM,FR019,,VA
CPR_SH.FR020,Mixed,Dulles,9/28/2013,NSFSTEM,FR020,,VA
CPR_SH.FR021,Mixed,Dulles,9/28/2013,NSFSTEM,FR021,,VA
CPR_SH.FR022,Mixed,Dulles,9/28/2013,NSFSTEM,FR022,,VA
CPR_SH.FR023,Mixed,Dulles,9/28/2013,NSFSTEM,FR023,,VA
CPR_SH.FR024,Mixed,Dulles,9/28/2013,NSFSTEM,FR024,,VA
CPR_SH.FR025,Mixed,Dulles,9/28/2013,NSFSTEM,FR025,,VA
CPR_SH.FR026,Mixed,Dulles,9/28/2013,NSFSTEM,FR026,,VA
CPR_SH.FR027,Mixed,Dulles,9/28/2013,NSFSTEM,FR027,,VA
CPR_SH.FR028,Mixed,Dulles,9/28/2013,NSFSTEM,FR028,,VA
CPR_SH.FR029,Mixed,Dulles,9/28/2013,NSFSTEM,FR029,,VA
CPR_SH.FR030,Mixed,Dulles,9/28/2013,NSFSTEM,FR030,,VA
CPR_SH.FR031,Mixed,Dulles,9/28/2013,NSFSTEM,FR031,,VA
CPR_SH.FR032,Mixed,Dulles,9/28/2013,NSFSTEM,FR032,,VA
CPR_SH.FR033,Mixed,Dulles,9/28/2013,NSFSTEM,FR033,,VA
CPR_SH.FR034,Mixed,Dulles,9/28/2013,NSFSTEM,FR034,,VA
CPR_SH.FR035,Mixed,Dulles,9/28/2013,NSFSTEM,FR035,,VA
CPR_CP.AG025,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG025,Baseball,PA
CPR_CP.AG027,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG027,Baseball,PA
CPR_CP.AG031,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG031,Baseball,PA
CPR_CP.AG034,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG034,Baseball,PA
CPR_CP.AG035,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG035,Baseball,PA
CPR_CP.AG037,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG037,Baseball,PA
CPR_CP.AG041,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG041,Baseball,PA
CPR_CP.AG042,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG042,Baseball,PA
CPR_CP.AG044,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG044,Baseball,PA
CPR_CP.AG049,Mixed,Philadelphia,4/25/2013,PhilliesGame,AG049,Baseball,PA
